sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,318.5636444091797,Inf,Inf,1.3668849205428137,11.678535074237242,0.0,1.0974190552848794e17,1.0734611049375334e17,1.2447343075288678e17,1.7145890838727885e17,7.486313707806777,4.344560162884619,31.30047426106629,0.0,8.881784197001252e-16,0.0,25.0,4.0,0.0
27.0,318.5636444091797,11.798653496636284,15.63010858212798,1.35079861087377,11.83029639499378,0.6577202109310024,52.388785547547464,43.26648899582994,58.74611912445804,98.5344109709284,8.484339584922203,4.397563181138292,31.306650223511937,1.0685640195874584,2.7904314593186106,0.8015403418211002,25.0,4.0,0.0
40.0,318.5636444091797,7.964091110229492,10.550323292936387,1.3513409955281523,11.538329218374878,0.9301986434648589,36.91966080599341,32.59394435124403,44.00119703584129,58.09210791387886,9.395805402609941,5.296607654400674,31.56665724217298,1.7239981213588618,1.8173772093194598,1.2771293407454263,25.0,4.0,0.0
50.0,318.5636444091797,6.371272888183594,8.44025863434911,1.3580975917192193,11.98093067587991,1.30863168362069,26.559671150174275,23.070972043454923,32.044312172473454,42.61790645840037,10.322343778972487,5.628879104329551,32.091539484905596,2.2511618375080724,3.185900102578364,1.713998166572389,25.0,4.0,0.0
62.0,318.5636444091797,5.138123296922253,6.806660188991218,1.4197335829007567,11.311098356638361,1.2524608352559339,27.615890550893745,25.60657923199079,32.175077902770525,45.328475673387494,12.255855346078324,6.463523792267913,31.623118393382605,3.297595998431664,5.516009104834181,1.6734762180113045,25.0,4.0,0.0
70.0,318.5636444091797,4.550909205845424,6.028756167392221,1.4535551514992384,11.269509555299743,1.639885464249785,21.938619363844523,17.157584217403162,30.604620258749364,38.81512697772424,14.79148772822891,7.165364248968603,38.911141199551295,5.104005760139797,8.532913381593463,2.7269071468700634,25.0,4.0,0.0
81.0,318.5636444091797,3.9328844988787615,5.21003619404266,1.4368759226327064,10.59820079046183,1.7245289525966665,19.44445813398106,18.976396779536113,21.797094561807192,31.116074951111397,14.814720283154308,7.1196079556895,32.543967268150524,4.1219258599456685,7.968140718549982,2.7172428505443142,25.0,4.0,0.0
100.0,318.5636444091797,3.185636444091797,4.220129317174555,1.5520348505930153,10.472572121889696,2.118272450094684,16.099903770145296,13.369257436349567,22.663069012723128,26.135099879963935,15.96444020121349,8.511197918530678,55.7895045558738,4.027690490251946,12.572830518186347,2.037162307708708,25.0,4.0,0.0
130.0,318.5636444091797,2.4504895723783053,3.246253320903504,1.7959122429640573,8.82082638750028,2.697931381456426,12.392071938574857,12.173833677328611,14.713525866554004,19.60883126024928,21.90547892464906,11.385181232817702,76.34257614028182,7.515615433219126,9.091908882931516,3.77535413435788,25.0,4.0,0.0
160.0,318.5636444091797,1.991022777557373,2.6375808232340967,2.0433872536092057,7.951853666599152,3.030765174671247,11.492166885278905,12.516665415044121,13.779061993788524,15.20214212114798,33.351250575699765,12.81911004019125,132.24307548862973,12.989023828997649,107.42116601412167,4.385015563356526,25.0,4.0,0.0
216.0,318.5636444091797,1.4748316870795355,1.9537635727659974,2.461325054020807,6.474902432494575,4.931840203035016,6.86860091225835,6.411175537950936,10.333343542732248,12.539986205993365,112.95745438964275,18.538054784327343,1088.192502452566,79.24331770470411,647.1557939472891,7.69572304935793,25.0,4.0,0.0
